Temp,Hum,Wind,Presure,Solar,ET,radiacion mayor a 500 evento simple,Evento compuesto radiacion solar>500 y evotranspiracion>.2,evento interseccion radiacion solar>500 ET>.2 
"26,5",72,"1,33","1010,7","429,00","0,3",0,0,
28,"64,7","2,13","1010,5","797,00","0,58",1,1,
"30,1",59,"2,4","1009,8","898,67","0,69",1,1,
"29,8",62,"5,07","1008,8","950,83","0,74",1,1,
"28,8","65,3","4,53","1008,1","609,33","0,48",1,1,
"25,6","74,3","5,6","1007,8","225,67","0,18",0,0,
"24,8",76,"5,33","1007,4","186,50","0,15",0,0,
"24,6","75,7",4,"1007,5","119,67","0,1",0,0,
"24,1",78,"3,73","1007,7","61,67","0,05",0,0,
"23,4","80,7","3,47","1008,4","5,83","0,03",0,0,
"23,2","81,5","2,67","1009,3","0,00","0,03",0,0,
"23,1","81,7","0,8","1010,5","0,00","0,03",0,0,
23,84,"0,27","1011,2","0,00","0,03",0,0,
"22,3",88,0,"1011,6","0,00",0,0,0,
22,"88,8",0,"1011,5","0,00",0,0,0,
"21,9",90,"0,53","1011,1","0,00",0,0,0,
22,"88,5",0,"1010,7","0,00",0,0,0,
"21,8",89,0,"1010,1","0,00",0,0,0,
"21,8","90,8",0,"1009,9","0,00",0,0,0,
"21,7",92,0,"1009,9","0,00",0,0,0,
"21,4","93,3",0,"1010,2","0,00",0,0,0,
"21,2","92,8",0,"1010,8","5,83",0,0,0,
"21,6","92,5","0,27","1011,4","36,33","0,03",0,0,
"22,6","89,2",0,"1011,8","154,50","0,1",0,0,
"22,9","87,8","1,87","1012,2","100,33","0,05",0,0,
"21,5","93,2",0,"1012,4","51,67","0,03",0,0,
"21,6","93,5","0,27","1011,9","155,67","0,1",0,0,
"23,6","87,5","0,8",1011,"537,33","0,36",1,1,
"26,3",76,"2,67","1009,9","931,50","0,69",1,1,
"27,6","67,7","1,33","1008,9","433,67","0,33",0,0,
"27,8","69,8","2,4","1007,8","410,83","0,3",0,0,
"26,1","74,7","4,27","1007,6","243,17","0,18",0,0,
"24,3","80,5","1,33","1007,8","49,83","0,05",0,0,
"23,6","83,5","1,07","1008,9","4,67",0,0,0,
23,"85,5","1,07","1009,7","0,00","0,03",0,0,
"22,7","86,3",0,"1010,7","0,00","0,03",0,0,
"22,5","87,2","0,27","1011,3","0,00","0,03",0,0,
"22,3","89,3","0,27","1011,3","0,00",0,0,0,
"21,8","93,3","0,53",1011,"0,00",0,0,0,
"21,6","94,2",0,"1010,6","0,00",0,0,0,
"21,3","93,8","0,27","1010,5","0,00",0,0,0,
"21,2","93,5",0,"1010,3","0,00",0,0,0,
"20,9","89,3",0,"1010,1","0,00",0,0,0,
"20,3","87,2","0,27","1010,2","0,00",0,0,0,
"20,4",86,"0,27","1010,7","0,00",0,0,0,
"20,6","87,7","0,53","1011,1","45,426,00",0,1,0,
"21,3","86,7","0,53","1011,6","137,50","0,08",0,0,
"22,5","83,5","1,87","1012,2","233,17","0,15",0,0,
"21,9",87,"1,87","1012,4","299,17","0,2",0,0,
"24,6","77,8","1,33","1011,9","540,00","0,41",1,1,
"27,5","68,7","1,6","1010,8","931,33","0,66",1,1,
"29,6","60,2","1,87","1009,9","928,00","0,69",1,1,
27,"70,2","3,2","1008,8","245,33","0,2",0,0,
26,"72,5",4,"1007,9","316,00","0,23",0,0,
"26,1","72,3","4,27","1007,4","248,83","0,2",0,0,
"25,6","74,3","2,93","1007,5","225,17","0,18",0,0,
"24,8","75,8","2,93","1008,1","64,50","0,05",0,0,
"23,8","80,5",0,"1008,8","4,83",0,0,0,
"23,2","82,8","0,27","1009,8","0,00","0,03",0,0,
"22,8","83,8","0,27",1011,"0,00","0,03",0,0,
"22,2","88,3","0,8","1011,6","0,00","0,03",0,0,
"20,8","95,7","0,8","1011,9","0,00",0,0,0,
20,94,"2,4","1012,4","0,00",0,0,0,
"18,9",95,"0,8","1012,1","0,00",0,0,0,
"18,7","95,8",0,"1011,5","0,00",0,0,0,
"18,8",97,"0,27","1011,1","0,00",0,0,0,
"18,9","96,5",0,"1010,8","0,00",0,0,0,
"18,9","96,8",0,"1010,7","0,00",0,0,0,
"18,8",97,0,"1011,3","0,00",0,0,0,
19,"96,7",0,"1011,9","45,83","0,03",0,0,
"21,1","90,5","0,53","1012,6","186,17","0,13",0,0,
"22,4","85,7","1,87","1012,8","231,67","0,15",0,0,
"24,9","78,3","1,33","1012,7","591,17","0,41",1,1,
27,71,"2,13",1012,"797,33","0,58",1,1,
"28,6",65,"2,13","1011,1","884,83","0,66",1,1,
"30,1","58,5","1,6","1010,1","939,17","0,74",1,1,
"30,5",60,"3,73","1009,2","909,00","0,69",1,1,
"28,1","66,8","5,07","1008,4","521,83","0,43",1,1,
"26,9",71,"5,07","1008,2","400,67","0,3",0,0,
"24,7",76,"3,47","1008,8","44,17","0,03",0,0,
"22,7","84,5","2,4","1009,7","11,33","0,03",0,0,
"22,5","84,8","2,4","1010,3","0,17",0,0,0,
"21,5",92,0,"1011,1","0,00",0,0,0,
"21,2","93,2",0,"1011,9","0,00",0,0,0,
21,"92,8",0,"1012,5","0,00",0,0,0,
"20,7","93,7",0,"1012,7","0,00",0,0,0,
"20,5","94,2","0,27","1012,6","0,00",0,0,0,
"19,9","94,5",0,"1012,3","0,00",0,0,0,
"19,7","95,5",0,"1011,7","0,00",0,0,0,
"19,7","95,2",0,"1011,1","0,00",0,0,0,
"19,7","95,2",0,"1010,7","0,00",0,0,0,
"19,7","95,3",0,"1010,9","0,00",0,0,0,
"19,6","95,5","0,27","1011,4","0,00",0,0,0,
"19,6","96,2",0,"1012,1","45,440,00",0,1,0,
"21,7","88,2","0,8","1012,8","223,83","0,15",0,0,
"23,4","83,8","0,53",1013,"233,50","0,15",0,0,
"24,2","80,3","0,8","1012,9","335,67","0,23",0,0,
26,"74,5","1,6","1012,5","590,00","0,43",1,1,
"29,4","62,5","1,87","1011,8","851,83","0,61",1,1,
"29,5","64,2","2,13","1010,9","573,33","0,46",1,1,
"28,5","67,3","5,6","1010,1","737,50","0,56",1,1,
"25,7","74,7","4,27","1009,7","182,17","0,15",0,0,
"24,5","78,7","5,33","1009,5","152,00","0,13",0,0,
"23,9","80,8","4,8","1009,6","107,00","0,08",0,0,
"23,7","80,8","4,53","1009,7","50,67","0,05",0,0,
"23,1","83,2","1,87","1010,3","3,83","0,03",0,0,
"22,6","85,7","0,53","1011,5","0,00","0,03",0,0,
"22,2","87,5",0,"1012,3","0,00","0,03",0,0,
"21,9","88,8",0,"1013,1","0,00",0,0,0,
"21,7","90,2","0,27","1013,4","0,00",0,0,0,
"21,5","92,5",0,"1013,3","0,00",0,0,0,
"21,3",94,"0,27",1013,"0,00",0,0,0,
"21,3","94,2",0,"1012,5","0,00",0,0,0,
"21,3","94,3",0,"1011,9","0,00",0,0,0,
"21,3",95,0,"1011,6","0,00",0,0,0,
"21,2",95,0,"1011,5","0,00",0,0,0,
"21,1","95,8",0,1012,"0,00",0,0,0,
"21,3","94,8",0,"1012,5","42,50","0,03",0,0,
"23,2",88,0,"1012,9","175,00","0,1",0,0,
"25,9","78,5","1,33","1013,5","385,17","0,28",0,0,
"25,8",77,"0,27","1013,7","239,50","0,18",0,0,
"25,9","77,2",0,"1013,4","193,67","0,13",0,0,
"25,9","78,5","0,53","1012,7","225,67","0,15",0,0,
"26,7",75,"0,27","1012,1","331,00","0,23",0,0,
"27,2",72,"0,8",1011,"281,17","0,2",0,0,
"26,5","75,3","2,13","1010,5","229,33","0,18",0,0,
"25,6",77,"1,87","1009,8","193,67","0,13",0,0,
"24,9","80,2","2,67","1009,3","117,67","0,08",0,0,
"23,9","84,7","1,6","1010,3","45.441,00","0,03",1,0,
"22,4",92,0,"1010,9","45.414,00",0,1,0,
"21,8","91,7","0,53","1011,1","0,00",0,0,0,
"21,2","92,3",0,"1011,9","0,00",0,0,0,
"20,7","93,5",0,"1012,4","0,00",0,0,0,
"20,2","93,7",0,1013,"0,00",0,0,0,
"19,9","94,7","0,27",1013,"0,00",0,0,0,
"19,9","95,5",0,"1012,5","0,00",0,0,0,
"20,1","95,8",0,1012,"0,00",0,0,0,
"19,8","95,8",0,"1011,8","0,00",0,0,0,
"19,9","96,7",0,"1011,7","0,00",0,0,0,
"19,9","96,5",0,"1011,7","0,00",0,0,0,
"19,8","96,5",0,"1012,2","0,00",0,0,0,
20,97,0,"1012,2","7,83",0,0,0,
"20,4",97,"1,07","1012,3","46,50","0,03",0,0,
"21,1","95,3","1,33","1012,5","192,50","0,13",0,0,
"23,9",87,"1,6","1012,4","461,00","0,33",0,0,
"25,7","77,8","1,33",1012,"448,33","0,33",0,0,
"27,3","69,7","1,07","1011,5","439,50","0,33",0,0,
"28,2","68,3","1,6","1010,7","489,83","0,38",0,0,
"26,7","73,5","3,47","1010,3","339,67","0,25",0,0,
"23,4",87,"2,4","1009,8","180,00","0,13",0,0,
"24,4","81,7","2,67","1009,5","243,83","0,18",0,0,
"24,4","80,3","1,6","1009,3","115,17","0,08",0,0,
"23,7",83,0,"1009,6","39,33","0,03",0,0,
"23,1","85,7",0,1010,"3,33",0,0,0,
"22,4","87,8","0,8","1010,6","0,00","0,03",0,0,
"21,6","88,8","0,8","1011,2","0,00",0,0,0,
"21,2",89,0,"1011,9","0,00",0,0,0,
21,"91,3",0,"1012,1","0,00",0,0,0,
"20,8","93,2",0,"1011,8","0,00",0,0,0,
"20,4","93,8",0,"1011,2","0,00",0,0,0,
"20,1","94,8",0,"1010,6","0,00",0,0,0,
"19,7",95,0,"1010,1","0,00",0,0,0,
"19,6","95,2",0,1010,"0,00",0,0,0,
"19,8",96,"0,27","1010,2","0,00",0,0,0,
"19,9","96,2",0,"1010,6","0,00",0,0,0,
"20,1",96,"0,53",1011,"11,83",0,0,0,
"20,5","95,2","1,33","1011,6","81,50","0,05",0,0,
"20,8",94,0,"1012,6","57,00","0,03",0,0,
"21,1",94,"0,53","1012,1","92,17","0,05",0,0,
22,"90,7","0,27","1011,9","237,33","0,15",0,0,
"22,7","86,5",0,"1012,6","134,00","0,08",0,0,
"21,9",91,"0,27","1012,1","72,83","0,05",0,0,
"21,5",94,0,"1011,4","43,83","0,03",0,0,
"21,1","93,7",0,"1010,5","65,50","0,03",0,0,
"21,5","91,8","0,53","1009,9","127,83","0,08",0,0,
"21,6","89,8",0,"1010,4","69,33","0,03",0,0,
"21,3","92,7",0,1011,"15,67",0,0,0,
"20,7","94,3","0,27","1011,5","1,17",0,0,0,
"20,3","95,5",0,"1012,1","0,00",0,0,0,
"19,9",95,0,"1012,7","0,00",0,0,0,
"19,8","96,5",0,"1013,6","0,00",0,0,0,
"19,7","96,2",0,1014,"0,00",0,0,0,
"19,4","96,7",0,"1013,9","0,00",0,0,0,
"19,5","97,5",0,"1013,4","0,00",0,0,0,
"19,6","97,3",0,1013,"0,00",0,0,0,
"19,5",97,0,"1012,3","0,00",0,0,0,
"19,3","97,5",0,1012,"0,00",0,0,0,
"19,2",98,0,"1012,2","0,00",0,0,0,
19,98,0,"1012,6","0,00",0,0,0,
"19,1",98,0,"1013,1","41,67","0,03",0,0,
"21,7","90,7","0,27","1013,4","195,17","0,13",0,0,
"24,1","83,3","2,13","1013,4","363,50","0,25",0,0,
"26,2",76,"1,6","1013,5","621,00","0,46",1,1,
"27,6","68,5","1,6",1013,"576,33","0,43",1,1,
"28,5","65,2","1,33","1012,3","799,00","0,58",1,1,
"30,3","55,2","1,6","1011,2","835,67","0,66",1,1,
"30,3","60,5","3,2","1010,4","663,00","0,53",1,1,
"30,6","61,7","4,53","1009,4","764,67","0,61",1,1,
29,"67,3","5,33","1008,9","493,33","0,41",0,0,
"28,6","69,2","5,33","1008,8","359,83","0,28",0,0,
"26,7","74,7","3,2","1009,5","77,00","0,08",0,0,
"24,6","81,5","2,13","1010,4","45.415,00","0,03",1,0,
"23,9",84,"2,4","1011,4","0,00","0,03",0,0,
"23,4","86,3","1,33","1011,8","0,00","0,03",0,0,
"22,8","88,8","1,6","1012,4","0,00","0,03",0,0,
"22,6","89,5","0,53","1012,7","0,00",0,0,0,
"22,5","89,7",0,"1012,4","0,00",0,0,0,
22,"91,8",0,"1011,9","0,00",0,0,0,
"21,4","93,2","1,07",1012,"0,00",0,0,0,
"21,3",94,0,"1011,8","0,00",0,0,0,
"21,5","93,8",0,"1011,4","0,00",0,0,0,
"21,7","93,5",0,"1011,6","0,00",0,0,0,
"21,8","93,2",0,"1012,1","0,00",0,0,0,
"21,8","93,8","0,27","1012,4","44,67","0,03",0,0,
"23,8","86,8","1,33","1012,6","194,00","0,13",0,0,
"26,5",76,"1,33","1012,8","332,33","0,23",0,0,
"28,9","66,5","1,6","1012,6","576,00","0,43",1,1,
"30,8","59,7","1,87","1012,1","785,33","0,61",1,1,
"31,7","53,2","2,67",1011,"883,00","0,69",1,1,
"32,5","44,7","3,2",1010,"797,50","0,61",1,1,
"33,3","47,7","2,93","1008,9","738,50","0,61",1,1,
"31,7","60,8","4,53",1008,"671,50","0,53",1,1,
"30,5","64,2","5,87","1007,5","430,00","0,36",0,0,
"29,4",68,"4,27","1007,3","259,00","0,2",0,0,
"27,8","72,3","6,13","1007,4","102,50","0,08",0,0,
"25,8","78,5","5,33","1008,1","3,67","0,03",0,0,
"24,7","81,2","3,2","1008,9","0,00","0,03",0,0,
"23,9","81,8","1,87","1009,8","0,00","0,03",0,0,
23,83,"0,27","1010,5","0,00","0,03",0,0,
"22,2","82,7",0,"1011,2","0,00","0,03",0,0,
"21,4","85,7","0,27","1011,5","0,00","0,03",0,0,
"21,3","87,2","0,53","1011,4","0,00","0,03",0,0,
"21,3","87,2",0,"1011,3","0,00",0,0,0,
"21,5","87,8",0,"1010,7","0,00",0,0,0,
21,"91,3","0,27","1010,2","0,00",0,0,0,
"20,8","91,7",0,1010,"0,00",0,0,0,
"20,4",92,"0,8","1010,5","0,00",0,0,0,
"20,5","88,3","1,07","1010,9","50,17","0,03",0,0,
24,69,"1,87","1011,2","211,83","0,15",0,0,
27,"58,3","1,6","1011,4","336,67","0,25",0,0,
"29,2","45,3","3,73","1011,2","627,17","0,51",1,1,
"30,6","42,8","4,53","1010,7","805,17","0,66",1,1,
"31,9",40,4,1010,"887,67","0,74",1,1,
"32,6",39,"4,53","1009,4","929,17","0,76",1,1,
"33,3","37,3",4,"1008,5","776,33","0,63",1,1,
"33,2","36,7","3,47","1007,4","515,17","0,43",1,1,
"32,7",38,"3,2","1006,5","404,50","0,36",0,0,
"28,7",58,"4,27","1007,1","34,67","0,05",0,0,
"25,5",67,"5,33","1007,9","45,42","0,05",0,0,
25,"71,5","4,27","1008,5","0,50","0,03",0,0,
"24,3","75,3","1,33","1009,3","0,00","0,03",0,0,
24,"77,2","0,53","1010,3","0,00","0,03",0,0,
"23,1","80,5",0,"1010,9","0,00","0,03",0,0,
"22,1","83,5","0,27","1011,3","0,00","0,03",0,0,
"21,2","86,8","1,07",1011,"0,00","0,03",0,0,
"20,8","87,8",0,"1010,7","0,00",0,0,0,
"20,5","88,7",0,"1010,5","0,00",0,0,0,
"20,3","90,7",0,1010,"0,00",0,0,0,
"20,4","90,8",0,"1009,9","0,00",0,0,0,
"20,6","90,3","0,27",1010,"0,00",0,0,0,
"20,4","90,8","0,8",1010,"0,00",0,0,0,
"20,1","92,3","1,6","1010,5","42,67","0,03",0,0,
"22,5","81,8","1,87",1011,"190,00","0,13",0,0,
"24,9","69,8","2,13","1011,6","326,50","0,23",0,0,
"27,5","61,5","2,13","1011,7","607,33","0,46",1,1,
30,"52,3","1,87","1011,1","779,67","0,61",1,1,
"31,8",45,"1,6","1010,3","875,00","0,69",1,1,
"32,4","42,7","1,6","1009,1","839,17","0,66",1,1,
"33,1",46,"2,93","1008,2","861,17","0,71",1,1,
31,"58,2","4,8","1007,5","505,50","0,43",1,1,
"28,8","64,8","2,93","1006,9","196,33","0,15",0,0,
"26,7","72,3","2,93","1007,5","45,83","0,03",0,0,
"24,7","77,8","2,67","1008,3","14,17","0,03",0,0,
"24,1","79,8","2,13","1008,9","0,83",0,0,0,
"23,8","80,8","1,87","1009,7","0,00","0,03",0,0,
"23,7","81,2","0,8","1010,7","0,00","0,03",0,0,
"23,5","82,3","0,27","1011,2","0,00","0,03",0,0,
"23,1","84,8",0,"1011,3","0,00","0,03",0,0,
"22,4","87,7","0,53","1010,9","0,00","0,03",0,0,
"21,8","90,5","0,27","1010,7","0,00",0,0,0,
"21,7",91,"0,27","1010,7","0,00",0,0,0,
"21,7","90,2",0,"1010,5","0,00",0,0,0,
"21,6","89,8","0,8","1010,3","0,00",0,0,0,
"21,5","90,5",0,"1010,3","0,00",0,0,0,
"21,6",91,0,"1010,8","0,00",0,0,0,
"21,8","90,5",0,"1011,3","21,83",0,0,0,
"22,7","87,7","0,53","1011,5","144,83","0,1",0,0,
"23,5","84,5","1,33",1012,"155,00","0,1",0,0,
"25,7","76,2","1,33","1012,1","459,50","0,33",0,0,
"28,4","65,3","1,6","1011,8","618,17","0,46",1,1,
"29,1","64,7","2,13","1011,2","525,83","0,41",1,1,
"29,3","63,7","5,07",1010,"822,00","0,66",1,1,
"28,2","65,2","4,53","1009,5","482,83","0,38",0,0,
"23,2","85,2","3,73","1009,5","165,17","0,13",0,0,
"23,7","86,5","3,47","1008,9","241,83","0,18",0,0,
"23,2","85,5","4,27","1009,4","105,83","0,08",0,0,
"22,9",85,"2,93","1010,2","53,17","0,03",0,0,
"22,4","86,7","2,13","1011,3","0,50",0,0,0,
"21,5","92,7",0,"1011,9","0,00",0,0,0,
"21,2","93,8",0,"1012,7","0,00",0,0,0,
"21,1","94,7","0,53","1013,1","0,00",0,0,0,
"21,1","95,8",0,"1013,2","0,00",0,0,0,
"21,1",96,0,1013,"0,00",0,0,0,
"21,1","95,7",0,"1012,5","0,00",0,0,0,
"21,1","95,2",0,"1012,2","0,00",0,0,0,
21,"95,2",0,"1011,7","0,00",0,0,0,
"20,9",96,0,"1011,4","0,00",0,0,0,
"20,9",96,0,"1011,5","0,00",0,0,0,
"20,8","96,3","0,53","1011,9","0,00",0,0,0,
"20,7",97,"0,53","1012,2","20,17",0,0,0,
21,"96,2","0,8","1012,9","75,50","0,05",0,0,
"21,3","94,7","1,6","1013,6","101,00","0,05",0,0,
"22,2","93,2","0,8","1013,7","241,00","0,15",0,0,
"23,7",87,"0,8","1013,7","316,00","0,2",0,0,
"23,6","87,7","0,53","1013,3","186,83","0,13",0,0,
"24,1","85,7","2,13","1012,4","431,00","0,3",0,0,
"25,6","76,3",4,"1011,4","573,33","0,43",1,1,
"24,6","79,5","3,47","1010,6","323,33","0,23",0,0,
"24,8","78,3","4,27","1010,3","361,17","0,25",0,0,
"23,3","85,2","1,33","1010,4","82,33","0,05",0,0,
22,"90,3","0,27","1010,9","33,17",0,0,0,
"21,2","91,5","0,53","1011,2","1,33",0,0,0,
"20,8","92,8",0,"1011,7","0,00",0,0,0,
"20,5",94,0,"1011,9","0,00",0,0,0,
"19,8","94,2",0,"1012,2","0,00",0,0,0,
"19,3",94,"0,27","1012,1","0,00",0,0,0,
"19,1","94,5",0,1012,"0,00",0,0,0,
"19,2","94,8",0,"1011,8","0,00",0,0,0,
"19,5","94,8",0,"1011,5","0,00",0,0,0,
"19,6","95,2",0,"1010,9","0,00",0,0,0,
"19,8","95,2",0,"1010,4","0,00",0,0,0,
"19,7","95,2",0,"1010,3","0,00",0,0,0,
"19,4","95,8",0,1011,"0,00",0,0,0,
"19,5","96,7","0,27","1011,7","26,33",0,0,0,
"20,7","93,2",0,"1012,1","130,33","0,08",0,0,
"23,2","84,7","0,8","1012,4","281,67","0,2",0,0,
"24,5","78,7","1,33","1012,5","461,50","0,33",0,0,
"26,9","70,5","1,6","1012,1","617,50","0,48",1,1,
"28,9","65,2","1,6","1011,3","733,17","0,53",1,1,
"28,9","65,2","3,47","1010,2","883,67","0,66",1,1,
"28,8","65,2","4,27","1008,9","661,83","0,51",1,1,
"28,4","65,7","2,4","1008,1","395,17","0,3",0,0,
"27,6","68,5",4,"1007,5","316,17","0,25",0,0,
"25,4","76,3","2,93","1007,7","69,83","0,05",0,0,
"24,4",79,"3,73","1008,2","41,83","0,03",0,0,
"23,8","81,8","2,93","1008,9","1,67","0,03",0,0,
"23,3","83,8","1,6",1010,"0,00","0,03",0,0,
"22,5","88,2","1,07","1010,6","0,00","0,03",0,0,
"21,8","91,3",0,1011,"0,00",0,0,0,
"21,6","93,3",0,"1011,2","0,00",0,0,0,
"21,7","94,7",0,"1010,9","0,00",0,0,0,
"21,7","94,7","0,27","1010,5","0,00",0,0,0,
"21,6","95,2",0,"1010,1","0,00",0,0,0,
"21,5","94,2","0,27","1009,7","0,00",0,0,0,
"21,4","93,8",0,"1009,3","0,00",0,0,0,
"21,3","93,8","0,27","1009,4","0,00",0,0,0,
"21,2","94,2",0,"1009,7","0,00",0,0,0,
"21,4","92,8",0,"1010,1","21,17",0,0,0,
"23,6","85,6","1,07","1011,3","224,40","0,13",0,0,
"24,7","79,8","0,8","1011,6","341,00","0,18",0,0,
