Date,Streamflow,p_ens,Streamflow_norm,p_ens_norm
1980-10-01,1165.8,4.669,0.08578915016714461,0.04793782149347515
1980-10-02,1181.2,11.884,0.08692240879862002,0.12201607852397918
1980-10-03,1194.4,9.195,0.08789377333988466,0.09440742528003943
1980-10-04,1201.0,9.348,0.08837945561051697,0.09597831555386717
1980-10-05,1203.2,14.407,0.08854134970072775,0.14792036715709928
1980-10-06,1209.8,3.719,0.08902703197136005,0.038183927636374834
1980-10-07,1212.0,2.353,0.08918892606157083,0.024158854995533743
1980-10-08,1218.6,4.254,0.08967460833220314,0.043676909966426064
1980-10-09,1227.4,8.168,0.09032218469304625,0.08386295265767939
1980-10-10,1231.8,8.937,0.09064597287346778,0.0917584730535848
1980-10-11,1229.6,2.865,0.090484078783257,0.029415690421676233
1980-10-12,1245.0,3.954,0.09161733741473241,0.0405967329589207
1980-10-13,1281.4,9.631,0.09429594872549246,0.09888394919761388
1980-10-14,1305.4,8.012,0.09606206607324634,0.0822612606137766
1980-10-15,1343.8,6.396,0.09888785382965254,0.06566937380001436
1980-10-16,1387.0,10.95,0.10206686505560952,0.1124264607739458
1980-10-17,1437.54,12.956,0.1057860138370879,0.133022577697465
1980-10-18,1474.78,3.975,0.10852643925501933,0.04081234534944608
1980-10-19,1504.04,6.563,0.1106796306548226,0.06738400566752568
1980-10-20,1517.34,7.064,0.11165835401836953,0.07252790127005965
1980-10-21,1536.7,3.195,0.11308302201222434,0.03280388512993213
1980-10-22,1560.08,3.453,0.1148035146618279,0.03545283735638674
1980-10-23,1596.82,6.067,0.1175071459683478,0.06229144634845016
1980-10-24,1653.6,14.121,0.12168548526024217,0.1449839317432775
1980-10-25,1719.0,5.451,0.12649815503287148,0.055966816226372465
1980-10-26,1802.2,2.953,0.13262069517175162,0.030319209010544468
1980-10-27,1867.4,4.729,0.13741864729981632,0.04855385689497623
1980-10-28,1925.2,4.903,0.14167204657899024,0.050340359559329334
1980-10-29,2010.2,9.421,0.1479270455189519,0.09672782529236013
1980-10-30,2085.4,2.726,0.15346087987524737,0.027988541741532078
1980-10-31,2168.2,9.139,0.15955398472499824,0.09383245890530507
1980-11-01,2242.6,5.288,0.16502894850303526,0.05429325338562789
1980-11-02,2307.2,0.939,0.16978274769740612,0.00964095403349179
1980-11-03,2360.4,3.556,0.1736976411515939,0.03651036479563025
1980-11-04,2394.6,7.806,0.17621435837214314,0.08014620573528958
1980-11-05,2421.2,7.288,0.17817180509923702,0.074827766768997
1980-11-06,2428.8,4.589,0.17873107559269244,0.047116440958140396
1980-11-07,2417.4,3.578,0.17789216985250936,0.03673624444284731
1980-11-08,2409.8,3.935,0.17733289935905397,0.040401655081778697
1980-11-09,2402.2,4.292,0.17677362886559853,0.04406706572071008
1980-11-10,2398.4,11.1,0.17649399361887086,0.11396654927769848
1980-11-11,2383.2,1.558,0.17537545263196005,0.015996385925644528
1980-11-12,2368.0,0.378,0.17425691164504928,0.0038810230294567595
1980-11-13,2345.2,1.275,0.17257910016468309,0.013090752281897797
1980-11-14,2311.0,2.342,0.1700623829441338,0.02404591517192521
1980-11-15,2288.2,6.489,0.16838457146376762,0.06662422867234104
1980-11-16,2250.2,2.518,0.16558821899649065,0.02585295234966169
1980-11-17,2219.8,7.465,0.1633511370226691,0.07664507120342515
1980-11-18,2200.8,14.298,0.1619529607890306,0.14680123617770566
1980-11-19,2171.8,6.389,0.15981890232716134,0.06559750300317257
1980-11-20,2135.8,9.365,0.15716972630553053,0.0961528589176258
1980-11-21,2132.2,10.957,0.1569048087033674,0.1124983315707876
1980-11-22,2125.0,6.347,0.15637497349904125,0.06516627822212183
1980-11-23,2146.6,7.96,0.15796447911201975,0.081727363265809
1980-11-24,2186.2,11.281,0.16087857273581363,0.11582492273889339
1980-11-25,2216.0,9.067,0.16307150177594137,0.0930932164235038
1980-11-26,2246.4,13.24,0.16530858374976296,0.13593847859790342
1980-11-27,2295.8,11.711,0.16894384195722303,0.12023984311631775
1980-11-28,2425.0,5.708,0.17845144034596475,0.058605501196135404
1980-11-29,2577.0,7.271,0.18963685021507262,0.07465322340523835
1980-11-30,2701.16,6.512,0.19877356396078602,0.06686037557624977
1980-12-01,2833.16,12.141,0.20848720937343235,0.1246547634937421
1980-12-02,2962.66,9.808,0.21801688422902096,0.10070125363204205
1980-12-03,3097.2,8.62,0.22791744372763792,0.0885037526823208
1980-12-04,3214.8,6.289,0.23657141873163196,0.06457077733400413
1980-12-05,3340.1,5.165,0.24579202305136363,0.053030380812550695
1980-12-06,3460.5,7.79,0.25465204507926226,0.07998192962822263
1980-12-07,3623.84,6.477,0.26667194539518385,0.06650102159204083
1980-12-08,3803.6,4.409,0.27990016432986037,0.045268334753637174
1980-12-09,3906.32,6.547,0.287459146578247,0.06721972956045874
1980-12-10,4034.9,4.597,0.2969211202688384,0.047198579011673875
1980-12-11,4165.24,2.939,0.3065126092315984,0.030175467416860887
1980-12-12,4304.12,3.6,0.3167325416172675,0.03696212409006437
1980-12-13,4413.32,6.143,0.3247683755495476,0.06307175785701817
1980-12-14,4529.8,9.967,0.33333993174397986,0.1023337474460199
1980-12-15,4617.16,9.381,0.33976859888980393,0.09631713502469275
1980-12-16,4739.36,8.644,0.34876107971878406,0.08875016684292124
1980-12-17,4777.96,2.619,0.3516015851197549,0.026889945275521833
1980-12-18,4847.44,3.045,0.35671449484150236,0.03126379662617945
1980-12-19,4855.16,2.336,0.35728259592169653,0.023984311631775102
1980-12-20,4870.6,5.56,0.35841879808208493,0.05708594720576608
1980-12-21,4886.04,22.66,0.3595550002424732,0.23265603663357187
1980-12-22,4878.32,3.348,0.35898689916227905,0.03437477540375987
1980-12-23,4901.48,2.211,0.3606912024028615,0.022700904545314534
1980-12-24,4893.76,5.632,0.3601231013226674,0.05782518968756737
1980-12-25,4886.04,8.314,0.3595550002424732,0.08536197213466533
1980-12-26,4886.04,7.26,0.3595550002424732,0.07454028358162981
1980-12-27,4855.16,7.793,0.35728259592169653,0.08001273139829769
1980-12-28,4824.28,7.064,0.3550101916009199,0.07252790127005965
1980-12-29,4801.12,8.746,0.3533058883603374,0.08979742702547307
1980-12-30,4770.24,5.007,0.35103348403956075,0.05140815425526453
1980-12-31,4739.36,3.811,0.34876107971878406,0.03912851525200981
1981-01-01,4662.16,6.233,0.34308006891684245,0.06399581095926979
1981-01-02,4631.72,22.345,0.34084004341410795,0.22942185077569122
1981-01-03,4624.44,8.493,0.3403043211519559,0.08719981108247687
1981-01-04,4700.76,7.291,0.3459205743178133,0.07485856853907205
1981-01-05,4731.64,9.607,0.34819297863858995,0.09863753503701345
1981-01-06,4754.8,9.133,0.34989728187917246,0.09377085536515498
1981-01-07,4824.28,7.284,0.3550101916009199,0.07478669774223025
1981-01-08,4893.76,8.781,0.3601231013226674,0.09015678100968202
